"1","Mountain View, California, United States","4 September 1998","Sundar Pichai","Google LLC is an American multinational technology company that specializes in Internet-related services and products, which include online advertising technologies, search engine, cloud computing, software, and hardware.","Google"
"2","Amazon Headquarters 410 Terry Ave. N Seattle, WA 98109","5 July 1994","Jeff Bezos","Amazon.com, Inc., doing business as Amazon, is an American electronic commerce and cloud computing company based in Seattle, Washington that was founded by Jeff Bezos on July 5, 1994.","Amazon"
"3","Microsoft Headquarters One Microsoft Way Redmond, WA 98052","April 4, 1975","Bill Gates","Microsoft Corporation is an American multinational technology company with headquarters in Redmond, Washington. It develops, manufactures, licenses, supports and sells computer software, consumer electronics, personal computers, and services.","Microsoft"
